neighbourhood;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm
Donostia-San Sebastian;Entire home/apt;176;2;709;45374;4.54;1;210;55
Sukarrieta;Entire home/apt;150;2;71;45231;0.46;1;323;18
Donostia-San Sebastian;Entire home/apt;225;3;15;45219;0.12;7;254;7
Donostia-San Sebastian;Entire home/apt;180;7;13;45166;0.09;7;241;1
Donostia-San Sebastian;Entire home/apt;246;7;32;43002;0.26;7;222;0
Donostia-San Sebastian;Private room;350;3;91;45348;0.68;7;196;26
Vitoria-Gasteiz;Entire home/apt;140;4;1;45151;0.13;2;124;1
Bilbao;Private room;84;3;44;45375;0.56;1;258;7
Oiartzun;Entire home/apt;800;2;11;45362;0.25;1;326;4
Donostia-San Sebastian;Entire home/apt;226;2;286;45185;2.18;2;171;10
Mutriku;Entire home/apt;73;2;90;45347;0.63;2;151;12
Gorliz;Entire home/apt;90;3;57;45180;0.40;1;336;2
Donostia-San Sebastian;Private room;101;2;48;45333;0.42;5;0;10
Donostia-San Sebastian;Entire home/apt;160;2;57;45296;0.54;1;251;19
Donostia-San Sebastian;Private room;56;2;76;45367;0.72;5;0;22
Durango;Private room;142;2;81;45163;0.56;4;173;6
Bilbao;Private room;95;2;64;43749;0.45;2;285;0
Bilbao;Private room;75;2;34;43758;0.24;2;280;0
Donostia-San Sebastian;Private room;65;2;26;45348;0.18;5;0;5
AbadiÒo;Private room;62;2;59;45213;0.42;4;296;3
AbadiÒo;Private room;103;2;41;45231;0.29;4;195;9
Durango;Private room;66;2;133;45367;0.94;4;306;12
Donostia-San Sebastian;Entire home/apt;185;2;43;45243;0.30;1;256;13
Donostia-San Sebastian;Private room;65;2;473;45381;3.31;2;220;41
Deba;Entire home/apt;116;4;18;45164;0.14;1;322;3
Gatika;Entire home/apt;600;2;37;45263;0.26;1;229;3
Donostia-San Sebastian;Entire home/apt;157;6;40;45135;0.30;1;58;4
Donostia-San Sebastian;Entire home/apt;89;32;123;44898;0.88;3;206;0
